"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Brands API","1","0","Returns a non-empty list of brands","0"
"0","","0","Search API","1","0","Searching for 'dress' returns matching products","0"
"0","","0","Products API","1","0","Returns a non-empty list of products","0"
"0","","0","Homepage","1","0","Homepage loads and key elements are visible","0"
"0","","0","Cart","1","0","User can add a product to the cart","0"
"0","","0","Auth API","1","0","Valid credentials return success response","0"
"0","","0","Auth API","1","0","Invalid credentials return a failure response","0"
"0","","0","Products","1","0","Search returns matching products","0"
"0","","0","Products","1","0","Products page loads and lists items","0"
"0","","0","Authentication","1","0","Registered user can log in with correct credentials","0"
